,products_and_services,products_id,language (ISO-code),typo_corrected
3571,18mm plywood,90fe1586-32cb-42a1-90a7-3e03fc8993f4,cy,18mm plywood
3572,mdf，melamine mdf,3c000066-6386-489d-8e56-23ac58860220,da,mdf，melamine mdf
3573,prespaced transfer label,d6662935-c786-42d8-9227-819969440534,ca,prespaced transfer label
3574,"lanterns, chinese - paper",5eb1fc31-0749-46cc-9c34-cb6995fb95cc,fr,"lanterns, chinese - paper"
3575,full denture,449e7b76-0276-4fcd-a5b9-89f5fd08f9a6,ca,full denture
3576,partial denture,6ed929dd-20f4-4cf6-860b-de77ef1056e1,ca,partial denture
3577,removable dentures,a8b94096-45a6-40fa-b215-99ac9d52fdcf,fr,removable dentures
3578,dental prostheses,936e96ac-a3ef-4e24-ac60-ad12e1358b49,es,dental prostheses
3579,movable dental prostheses,435d5e20-2adc-4e04-85ac-eab1360a3d61,ca,movable dental prostheses
3580,dental tool repairs,e922fcf8-4f55-4e0d-8844-1e8950c2dc72,ca,dental tool repairs
3581,audio system rental,94b8b08e-4449-47df-8c70-89a295b4577a,fr,audio system rental
3582,barco projector,99042eed-d202-488d-96e3-df5b2e43759b,es,barco projector
3583,cd digital audio pressing,38d32911-8daf-4b3f-a6ed-09a388461361,it,cd digital audio pressing
3584,dvd pressings,d185ea43-48bb-4c2f-bc85-3d9c3a3654b0,no,dvd pressings
3585,hot water tank,b01ee25f-b7dd-4387-aeb7-88ad87b24be2,af,hot water tank
3586,enamels for glass,21f65cae-6272-495d-9ad8-35cd5ce5b1a1,ca,enamels for glass
3587,sliding systems for glass,8893846e-c1e4-46a1-a069-90ab9bd2c88b,da,sliding systems for glass
3588,smartphone parts,1d04d15f-91f1-4482-92f5-d3c46592682c,fr,smartphone parts
3589,accessoiries,c4de1691-8603-4185-a31c-33ef8ca0d3c4,fr,accessoiries
3590,glass decoration and design accessories,e8c7d482-0675-439e-bc44-e5db9ab08db9,it,glass decoration and design accessories
3591,non-reflective lenses,0e425194-2c3e-4a01-8be1-770cd70773ab,fr,non-reflective lenses
3592,infrared target viewers,2e757a0d-c7df-4f9d-b0dd-3909ecf6b00e,af,infrared target viewers
3593,under eloxal digital printing,9f4e38cb-85d2-42b2-8353-99d29fea715c,ca,under eloxal digital printing
3594,front panels,f0815dbf-1c9f-4215-ae5a-37b45988741f,ca,front panels
3595,identification plate,8f2e3a4d-a4f7-4de6-a7fd-6fde13e9f81f,it,identification plate
3596,sign plates,bdf9dfb1-e3b5-4db0-8da4-b340b2e69803,fr,sign plates
3597,smart glass,582ac35f-c583-4a04-b3fb-b6bd3db0753a,sv,smart glass
3598,privacy glass,a99c3c20-fbb5-4262-947e-c69bd88b3c6c,hr,privacy glass
3599,process development,40ed1c6a-9693-482d-aaba-d1364b659ed8,pt,process development
3600,customer focus,f0dee2fd-ee25-43b1-a471-66edeacdd73a,ro,customer focus
3601,rock wool,82af3bd7-dcc4-487a-82ad-c2f28ca22691,pl,rock wool
3602,concrete edging,7e931d0a-a590-41cb-8554-1355d00fd6ce,it,concrete edging
3603,wooden floor coverings,84626c47-1720-4839-8d7e-d5f4819b8749,nl,wooden floor coverings
3604,metal expansion compensators,5ad8dc66-c0af-4209-aa04-c67dbced0fca,ca,metal expansion compensators
3605,glass jewellery,f7d6a2ae-33d9-4fc6-8bc6-1aaa8b59b2a6,af,glass jewellery
3606,stone mortars,62f71001-1620-4dff-a5a4-341bba1d77c6,it,stone mortars
3607,setting blocks,2adb3044-d7c0-4802-9c50-785d3bd80587,sv,setting blocks
3608,support blocks,cc6180db-5d89-446d-baaf-4345044db5db,sv,support blocks
3609,wooden wedges,c1297f0e-f00b-422a-8961-ddbe345f5320,af,wooden wedges
3610,wooden blocks,46b9f274-f27b-4c71-b51b-51f5d89a8d6d,af,wooden blocks
3611,progressive kilns,6f090f13-1d89-49ce-a87f-034ef3e72af0,sl,progressive kilns
3612,ski goggles,275c123d-4748-41d2-85dd-5ebc19e0c51e,hr,ski goggles
3613,build,4bd3543e-fdb7-4c8b-aa2c-42733f66c2ef,tr,build
3614,kitc,5ea947b9-dbe6-4425-bd7d-e903169c8644,fi,kitc
3615,plastering and rendering,8ba69ae3-4ee3-45c9-8ccb-445c4a3988ef,da,plastering and rendering
3616,landfill gas technology,69862bc6-98d0-402e-918f-de5894e9a497,cy,landfill gas technology
3617,"digestion tower, digester",63ba146c-00aa-4d15-a591-bdf4966fd5d9,af,"digestion tower, digester"
3618,apparatus for environmental engineering,c0977ce1-5790-4103-99b9-cac7f414e8a4,no,apparatus for environmental engineering
3619,gas flare systems,9f1d0802-8c0d-4775-ad77-a6fdcde1609f,sv,gas flare systems
3620,pyrolysis flare,fa51a487-3572-45a0-831d-a309e5ea7b19,cy,pyrolysis flare
3621,gasholders,546e8c50-5473-4aa2-bfcf-b23722f9cd7e,da,gasholders
3622,compressed air agitators,5c3c609d-5198-45ab-9205-672763e53667,it,compressed air agitators
3623,stirrers and stirrer shafts,51597f6a-00a2-4d69-b822-75106c65ea36,da,stirrers and stirrer shafts
3624,barrel agitators,c3a603b2-79c6-4edd-b0ba-53625cabc5d7,it,barrel agitators
3625,antivolatile,6a6b5321-70bd-40b2-831f-40c66ae37147,it,antivolatile
3626,bird nets,4fef41ca-28b9-4d30-b5d7-db9929dc40c6,tr,bird nets
3627,grinder,f741ac57-8ce8-4274-94b9-09bea8570396,de,grinder
3628,handmade jewellery,0ee0cf6f-1291-45fb-a7ae-16664ff37b43,af,handmade jewellery
3629,mechanical automation,af1ff103-60ed-4c81-9853-9947ae017a9f,it,mechanical automation
3630,stone tile floorings,a52dbc39-2c97-4490-a148-3c2e86571cb6,da,stone tile floorings
3631,waterproofing geomembranes,7b0983f0-876d-46bb-b434-9eb1467d701e,af,waterproofing geomembranes
3632,bespoke packager,5252713c-bcbb-462e-a21f-15fd6c46869e,da,bespoke packager
3633,dual component glue packaging,42d2af2e-ff89-4af2-9944-aec7ccb4dd8d,it,dual component glue packaging
3634,ceramic terracotta,2cd1b52f-de59-469b-924b-210b7ec50440,it,ceramic terracotta
3635,glass cabinets,8a30e048-d21f-4d57-a41b-498c382e082d,ca,glass cabinets
3636,glass packaging,783d3536-a689-4cbe-9e4b-225545451b1f,tl,glass packaging
3637,dropper bottles for essential oils,220fa89d-1ab5-464c-80ae-69817ceb55a0,no,dropper bottles for essential oils
3638,heat barrier frames,2cdccc09-0277-4105-afc5-f4cdf8f9ba15,da,heat barrier frames
3639,ultrasonic generators,9d87be5b-4030-49ef-84bf-0e30da1ebea0,it,ultrasonic generators
3640,ultrasonic components,b1dc890d-657f-4d56-a25d-30317eb8fe5e,it,ultrasonic components
3641,ultrasonic converters,2e83bd1b-345f-4702-8deb-cf71561c2bc3,it,ultrasonic converters
3642,small titanium parts,e2f1c64e-1758-4eae-9103-0a28f174151d,it,small titanium parts
3643,beryllium,7e4a353f-1dd8-444e-a11f-5da5dc9ef792,da,beryllium
3644,tiles for pools,0e0b3417-c3f6-4108-9c26-733c8b477aa7,da,tiles for pools
3645,stays,6dce61a5-d7cf-4099-9466-3554ceecd259,tl,stays
3646,pvc pipes,3f650f43-806c-447c-b701-2c0baf4421ff,lv,pvc pipes
3647,sliding table saws,f63496e8-bf83-4af5-85ec-a19ad3c68c9b,tl,sliding table saws
3648,hot plate presses,5f6f0202-a794-4f5b-86e3-9a1e9ad1eb26,fr,hot plate presses
3649,smoking systems,d5ffb08d-06da-429a-9870-befecae120bc,da,smoking systems
3650,polyester cable ladders,740d1aec-e317-4747-947b-87fd4de25514,es,polyester cable ladders
3651,louvre windows,ad314266-1f2e-4743-921f-9ec7c74724d7,pl,louvre windows
3652,fume exhaust systems,fd201ea3-c393-40b2-9f48-b637c9851402,fr,fume exhaust systems
3653,melamine,38597b38-24f9-4699-96f7-10f89018b170,id,melamine
3654,plexiglas® letters,8215bdb4-969f-406e-a204-2657a9ddc3be,fr,plexiglas® letters
3655,cotto tiles,5eaba8e5-ead5-4343-8c28-c88654bfa966,it,cotto tiles
3656,fine grinding machines,dd76343c-dae2-4b5c-bb8c-2a21b54a4da9,de,fine grinding machines
3657,metal stamped parts,26887ce2-40f6-4145-ad35-7f10b3d0f3ee,ca,metal stamped parts
3658,knife blanks,d6f56012-f5ff-4ea6-81e9-4471174ed3b9,no,knife blanks
3659,slaughtering knives,1a20059b-1e97-4fb4-b314-f3afc774f99a,no,slaughtering knives
3660,knife blades,fb8796a6-29f4-4e60-86c3-fd504f0fb83e,sv,knife blades
3661,infrared temperature measurement,db5a51f3-dd99-4a95-953e-c5a2cdab006b,ro,infrared temperature measurement
3662,data-loggers,13c2ea47-2264-4614-8009-f2aaf50a02ee,it,data-loggers
3663,optris,c3c5f9cf-1da2-45ee-9327-38fb429400a4,da,optris
3664,flir,22c07c13-14e2-478c-aff0-ddc60ac64a8c,cy,flir
3665,slides,20698f1e-b134-4562-8642-3afedc028053,et,slides
3666,phoenix,4740efba-05bf-4ef4-afff-9af3b5245e0f,nl,phoenix
3667,temperature recorders,5a4d3c63-d2cd-4793-86ff-1d783e5fcbd0,it,temperature recorders
3668,pyrometry,0e23cbaa-504a-440f-a380-58c202835a48,lt,pyrometry
3669,temperature profile,31a12478-e443-40dc-bbb2-fadd5c1e9a5e,ro,temperature profile
3670,hardwoods,e45d26ec-7242-47ab-99ff-a82b603ee4c1,af,hardwoods
3671,surface coating,3e3daa74-fa55-4fd0-a60e-fc0e018f458b,ro,surface coating
3672,concrete covered poles,31b469c3-f306-4c26-8009-d6010503b33d,it,concrete covered poles
3673,perfume bottle designer,3ae6998b-999f-4e4d-85f2-270cfa9df599,da,perfume bottle designer
3674,finned resistor,9c32e6cd-a92f-42a3-82bb-4f2e0212916d,no,finned resistor
3675,infra-red radiators,c1cb107d-6cfe-40fb-9858-12b8a6e35d5d,it,infra-red radiators
3676,jewelry supplier,7b353306-a163-4f62-a912-7987ce0dc99a,pl,jewelry supplier
3677,jewelry supplies,5f81934a-fef4-4b52-891c-4e63fd07c660,pl,jewelry supplies
3678,glass decorations,ab0005a2-424e-45e3-a069-515bf9f1ee21,it,glass decorations
3679,shrinkable tubing,b0536482-0799-4caf-b71f-46d1b9dd2810,tl,shrinkable tubing
3680,co-extruded foil,1c749ce6-354f-4e44-bbb5-adbe4db29afe,ro,co-extruded foil
3681,grinding mill,7b4e926b-e857-4c95-a731-cbb38116c638,af,grinding mill
3682,lump breakers,a1c78e10-3a50-439a-a544-90f066dcc333,no,lump breakers
3683,general laboratory supplies,84ebd683-d8f6-4660-906b-099e25fd83df,it,general laboratory supplies
3684,powder abrasives,727c10b9-a2a2-4742-ad0d-2e33c94182ae,pt,powder abrasives
3685,evaporated milk,e5b9b63b-1fdd-4d5c-8ed5-f29e05d6e212,et,evaporated milk
3686,foam glass gravel,6fe2b15b-f20e-4fc9-ab7c-6a10376d5992,no,foam glass gravel
3687,foamed glass gravel,bbd60d79-41af-45c6-8395-1e4be778f618,no,foamed glass gravel
3688,geocell,4114b1ef-9c3d-4b7a-98f7-7a599f31ade2,it,geocell
3689,expandable graphite,950826bb-c250-4876-95c3-2cfabf3eab18,fr,expandable graphite
3690,mica,409e4e03-408d-4bfc-a2da-c18a4c433fc6,es,mica
3691,flame retardant additives,8cc23479-07fb-4c66-b1aa-a71b9a74c1c3,da,flame retardant additives
3692,passive fire protection,ab6b2c66-9d37-4986-a626-a18c33bddc4b,fr,passive fire protection
3693,fume scrubbers,5972c49e-b56d-4b3a-a573-2bd7fdfdf080,it,fume scrubbers
3694,ceramic worktops,37a2cb43-72c0-4246-a48d-255a839d4d0c,pl,ceramic worktops
3695,sterilizer,4aa93034-43d9-4851-917c-6538b4054354,ro,sterilizer
3696,flame-retardant equipment,c691ba9d-6bc1-42c7-8eac-46bab1d00741,ca,flame-retardant equipment
3697,fabric seals,53230227-cede-4c55-ba59-f7418760af30,ca,fabric seals
3698,fabric compensators,39e5526c-193a-4659-b371-ac9f25846079,ro,fabric compensators
3699,soft material compensators,269e9bf1-fb1d-4b56-b3c6-f061d8590c5d,ro,soft material compensators
3700,hose compensators,5651a8b9-d580-4cb1-95d5-f9e052c85c8c,pt,hose compensators
3701,cosmetic chemicals,7d47a537-b50b-40ac-ade0-f10f83e102db,it,cosmetic chemicals
3702,glass curtains spain,70ee6223-7b31-42ea-8934-efe391283cc4,fr,glass curtains spain
3703,frameless glass curtains,98c28936-4c94-41f2-b541-a6fa02e31603,ca,frameless glass curtains
3704,costa blanca glass,1c4cd2da-b9d2-4767-a346-91d1d3170ae9,it,costa blanca glass
3705,burettes,ee02df45-2963-4d03-bbfd-6f449438075f,no,burettes
3706,glass pipettes,20c0aaaa-8385-4f91-88ff-d5a0b880d7d2,it,glass pipettes
3707,glass laboratory equipment,e270a989-4785-4279-9c8f-8c6d558092f2,es,glass laboratory equipment
3708,digital printing on glass,60fa109b-bb0f-4193-9e12-741a3c39946b,tl,digital printing on glass
3709,glaviva - design & digitaldruck auf glas,2463b5e1-f615-41cf-b52b-730971a83a8b,it,glaviva - design & digitaldruck auf glas
3710,dressing room mirrors,30a35ed3-55f7-4ceb-ab77-da09520f9756,af,dressing room mirrors
3711,mirror systems,7415def5-3535-45e7-a3c2-0d2186883f27,da,mirror systems
3712,slide gate valves,9f2d4faf-3db6-41a7-ac3d-d02ec6e794e4,et,slide gate valves
3713,degassing,e8a4cd9d-051e-4d4c-92cd-755c54d318ba,it,degassing
3714,carbon bricks,9d978433-d352-4935-b74c-a576ab1f6ac3,ro,carbon bricks
3715,glass vials for pharmaceuticals,437a3407-fa6f-482e-902b-f1168ff00c3b,ca,glass vials for pharmaceuticals
3716,logo engraving,4e274dd5-983d-4ef2-98dc-9f90839018cb,no,logo engraving
3717,diamond drills,a4b4209e-4052-42b7-a854-527d297a98b3,it,diamond drills
3718,diamond saws,3ab31cdb-33cb-45cc-844e-eaf5c0419cbc,cy,diamond saws
3719,grooving tools,2cceb903-caa5-4dcc-bb21-be23b99481df,af,grooving tools
3720,vacuum brazing,74780997-582a-407b-9e8b-cfb71305a205,hr,vacuum brazing
3721,black granite,ec5c2d7a-fbfa-40a0-a051-8cbcea4848f9,sv,black granite
3722,grey robledo granite,133b9ef0-5c5d-418a-91ce-a4908c7b0a83,cy,grey robledo granite
3723,responsible and sustainable sourcing,02996a92-f849-4c3f-8e11-9f0c82bcd65b,fr,responsible and sustainable sourcing
3724,leak detection sprays,7c414217-e02f-4996-b379-60eba1664dde,fr,leak detection sprays
3725,aluminium silicates,682d8873-0eb9-40a4-8b91-4cefd9b45eb1,ro,aluminium silicates
3726,modified aluminium oxides,c93945c3-c447-4cb5-9856-feaf6044cb24,ro,modified aluminium oxides
3727,magnesium-aluminium silicate (thixotropic agent),fc30f17f-9a09-4648-8e45-e91418854dec,ro,magnesium-aluminium silicate (thixotropic agent)
3728,roller garlands,06192b8b-e413-4422-892d-1bb53155ceec,sv,roller garlands
3729,bobbins,6477d2e2-fd5a-4557-9a4c-025f3abdfa7f,sl,bobbins
3730,pivot joints,adecb642-8dc2-4913-a83c-d33934d4a385,fi,pivot joints
3731,swivel joints,5153fb26-a838-4791-89da-3a5920e59148,fi,swivel joints
3732,pressure fittings,7a1e038e-faf1-488b-b766-65aba4f5fe1d,it,pressure fittings
3733,compressed air components,32318fd9-9aba-4035-9037-2fef8b689f47,fr,compressed air components
3734,premium surfaces,8160b954-ab5e-4d42-a524-0f40a211bd9e,ro,premium surfaces
3735,pvc pet pp decorative surfaces,f065248c-0cc0-4882-a9b6-fd760562946d,fr,pvc pet pp decorative surfaces
3736,co-extruded profiles,f1df40bf-abf2-47aa-abf9-5b9037172900,ro,co-extruded profiles
3737,special profiles,ef3ae8f1-a58c-4caf-b9a0-58148bb27b81,ro,special profiles
3738,emergency systems for deep-freeze rooms,c4d5fc2c-fc7a-4bb0-ba7f-c4f2b3a38220,nl,emergency systems for deep-freeze rooms
3739,pressure compensation valves,785a3860-fd2d-4fdd-8278-ac9c3070d5b7,fr,pressure compensation valves
3740,tiled underfloor heating systems,66f68386-0a97-487f-aee9-19d5dc872d11,da,tiled underfloor heating systems
3741,silica,6c89f83f-039a-4767-b915-5e3e57c7d2c3,it,silica
3742,atomizers for agricultural machines,cd86fbb7-a08c-481d-8292-e968845eb761,ro,atomizers for agricultural machines
3743,expansion joints,79e1c718-b646-45f8-950c-cb03d2f0741f,fr,expansion joints
3744,guillotines,99b9182d-2a58-4d3a-927a-28b6bc23aaac,fr,guillotines
3745,workshop presses,6cab6d14-c0b8-4a2b-89fe-2b6c610abbb4,af,workshop presses
3746,ceramic components,e8e119d6-1220-4423-9367-90a1fce5484d,ca,ceramic components
3747,cim part,6bf99c13-0b7a-4deb-9472-da9e72cda93d,pt,cim part
3748,custom-made saddles,9e726cc4-2b89-4ddd-9ec0-ea6dec41f307,pt,custom-made saddles
3749,boron carbide ceramics,70fada3a-ff52-4964-8de4-6874737a8511,es,boron carbide ceramics
3750,silicon carbide rings,6a2ce682-312d-4285-8d13-bde3fc9ca8c3,it,silicon carbide rings
3751,concierge services,1244fb98-d371-43a0-9911-6119dab28a67,es,concierge services
3752,para-pharmaceutical laboratory,1a8865d2-270f-4747-903e-5852db5e4d45,es,para-pharmaceutical laboratory
3753,oven repair,8122809d-0bdc-495a-b072-611558116fcc,nl,oven repair
3754,spindle ball bearings,72e47369-b986-4cf8-a63d-e6803ce5de4b,no,spindle ball bearings
3755,unit bearing,780977b5-7b45-4ecb-8a49-8a25e3ef8219,id,unit bearing
3756,hybrid bearings,389dd1e9-927b-4006-b2fc-9966a7a87fc4,cy,hybrid bearings
3757,animal crematoriums,256aefba-27bc-403a-84db-daca5f53ab0b,ro,animal crematoriums
3758,furnace construction,54e626f1-60af-4358-ab46-227beb8b91bb,fr,furnace construction
3759,industrial automation consultants,25135056-9cd6-4a3e-918f-1525320c982b,it,industrial automation consultants
3760,forks for forklift trucks,5f8c1cc1-ffc4-4de1-a788-d841d98801b2,da,forks for forklift trucks
3761,export ceramics,565472d1-7923-4991-82cd-3fde29abfeb1,ca,export ceramics
3762,lateral pipe rehabilitation,5f1e81ed-3182-48f7-8e6c-0264bf72d989,it,lateral pipe rehabilitation
3763,inliner sewer rehabilitation,8783152c-65ff-4320-a151-11a88d30c2b3,de,inliner sewer rehabilitation
3764,sewer nozzles,60cb86a0-d538-45e7-b553-a64e18849b19,af,sewer nozzles
3765,sewer milling equipment,d28e3816-9b6f-4123-8c76-49fb99ba09a6,af,sewer milling equipment
3766,entrance hall mats,26f3c2a6-9536-43a3-a962-db307e4675fc,fr,entrance hall mats
3767,scraper doormats,1b29468a-4997-498b-bcea-d507a96d1ee1,nl,scraper doormats
3768,non-slip bathroom mats,d5f0e7ce-b3c4-42bd-83ac-9a05a60ff9ca,tl,non-slip bathroom mats
3769,dirt-trap mats and dust-control mats,e9e933c6-f465-4b72-b2ff-7e7fc98058a8,fr,dirt-trap mats and dust-control mats
3770,eddy current separator,240b7c30-8398-4ddb-9b7f-05c45657c1c0,ca,eddy current separator
3771,eva films,aa133c5c-bda9-49b7-b65f-67e145601d6f,sv,eva films
3772,colors insertions etc,362cb120-a6f4-4188-b816-e572e23afe09,fr,colors insertions etc
3773,plastic pipeline construction,340709d3-93f3-433f-97f4-428fba0b95af,fr,plastic pipeline construction
3774,rectangular tanks,2888cd85-ad93-4529-b2fa-fc5091de3aee,id,rectangular tanks
3775,plastic equipment manufacturing,13a22412-70cc-4072-b7da-313109423dcc,ca,plastic equipment manufacturing
3776,industrial waterproofing,4ed4d99d-f179-448c-a781-60fd1db4b3f7,af,industrial waterproofing
3777,laser optical instruments,cc98570a-d5c0-4495-8c7f-2ef08c3b7c40,ca,laser optical instruments
3778,glass articles for liquids,8b0a7f19-85cb-4b6f-a89d-4dfb5a414207,ca,glass articles for liquids
3779,disc harrow,257f533d-490d-461d-9939-2524d2619f50,nl,disc harrow
3780,grass seeder,c95705f1-8273-4a86-9eb8-8711eb1ecfd4,af,grass seeder
3781,cultivators,c8cbfcb5-6d46-4cb9-b275-4aefb245b014,it,cultivators
3782,dry tea biscuits,a60effe8-96cb-4474-8ff3-056c15c35b38,ro,dry tea biscuits
3783,slab cutters,ae89cc31-7473-4113-90ec-327e29c52104,it,slab cutters
3784,marble and granite calibrators,66d13137-e476-404c-9be9-2c8668927319,it,marble and granite calibrators
3785,gas and air piping,4d53a6ff-94a5-4954-88d9-2848327d1dc5,tl,gas and air piping
3786,cooling water piping,0e9a04fe-eeb8-4b0b-b620-e6dfceed096e,tl,cooling water piping
3787,stainless steel pipeline installation,643a8240-4e24-4e32-8ef9-a60c9e553949,fi,stainless steel pipeline installation
3788,extrusions,0c7345f3-d1d1-4259-b1ce-09daa4b8ad13,fr,extrusions
3789,seal testing,794807f5-63a9-4286-8452-78719e4de388,et,seal testing
3790,airbag testing systems,499e8445-4816-4660-89ed-d718f229d565,da,airbag testing systems
3791,biogas analyses,9615aadf-0ef1-408e-9141-9fef8f2068fd,tl,biogas analyses
3792,leak testing systems,d72db656-0162-4aba-a8b3-fccb46a9bf76,no,leak testing systems
3793,crystal articles,5424e23e-6edb-4665-8cfa-7cafd4ae8472,ca,crystal articles
3794,packaging machinery,766c3175-6a92-430b-8d68-5dde5b87018f,tl,packaging machinery
3795,glycerine,41974abe-4818-48ed-a587-989c86158c17,cy,glycerine
3796,propylene glycol,1b837694-2fca-4e05-b126-0526bc8eb035,it,propylene glycol
3797,nicotine,2a64d172-4fd1-4ba5-82cb-31c68a66ce06,it,nicotine
3798,unique object recognition with artificial intelligence (ai),f730acc9-9795-4968-97a7-8e2c5a43343f,fr,unique object recognition with artificial intelligence (ai)
3799,natural stone granite flagstone tile kerb,44cbc07d-9c22-4bb3-9d31-d00322f49e04,it,natural stone granite flagstone tile kerb
3800,natural stone manufacturer,70fed439-446b-42ab-bcd2-44d85630e82b,ro,natural stone manufacturer
3801,safety glass,ae87e44b-19f4-4956-8056-2a858e8a97ed,no,safety glass
3802,panel connectors,c9d11b49-3160-4d4c-9ab3-de4ee82180a1,it,panel connectors
3803,clamp connectors,f2132e0c-f5bc-4c72-bcd3-84a7130b352b,fr,clamp connectors
3804,glass panel connectors,9c0d6537-6dfe-4bc3-afb2-6840e3ab449e,it,glass panel connectors
3805,special fabrications,5cb1e370-57db-45d3-b289-06d162925f46,it,special fabrications
3806,optical prisms,3e13b934-c587-4e59-ad35-abeffaeab1e0,ro,optical prisms
3807,telecentric lenses,d47d38ef-6b88-48e1-899a-f9c947ee449f,ca,telecentric lenses
3808,conduits,a726c2ab-e082-43dc-b9ad-287c668a8093,fr,conduits
3809,composite piping,f5392a36-d14c-4932-8116-996d64156d04,it,composite piping
3810,plasterboard false ceilings,e5cbc674-9e7b-49f3-8423-609d277cb87f,nl,plasterboard false ceilings
3811,precision resistors,ecd30f6b-3097-412f-b50d-4ccad2281b20,it,precision resistors
3812,electronic components trading,4028b126-398d-42f9-9710-feb5cd9e7f0a,ca,electronic components trading
3813,internal partitions,1b9f7795-410c-42bc-a9fa-cf0b2a3a7c27,it,internal partitions
3814,double-side face grinding,eccad4a3-0251-4e4e-948f-1829c5ef6f38,fr,double-side face grinding
3815,brush deburring,5a05c32f-a565-4788-b280-f2a9a95b70b1,de,brush deburring
3816,façade cladding,e58fb8c1-7ca2-462b-9796-a207122d9351,pt,façade cladding
3817,reinforced concrete elements,9320b9f7-15f2-4bca-8b59-d13e5d6aab5b,ca,reinforced concrete elements
3818,scale models,804c4748-e394-44cb-b957-f16fd24e808c,it,scale models
3819,sculpture models for construction,1cc87067-5e59-4855-a8f7-6a14131ef48c,ro,sculpture models for construction
3820,locks for dispensers,f568c01a-439a-4fcd-adfb-292a82dc6e79,sv,locks for dispensers
3821,rfid locks,0f34ace4-fd37-43f6-a703-ae9518ea95ca,sv,rfid locks
3822,spirals,9f426b07-e46f-446a-8576-b35813200345,lv,spirals
3823,compression machines,c11524cb-a734-4378-9a9b-b0419d45583b,it,compression machines
3824,decorative stove,2e06577e-afdd-4d33-972f-64022164a1b6,it,decorative stove
3825,stove installation,be3f25b7-71e1-490e-86b7-265342a48a1e,it,stove installation
3826,ceramic products,c2bd80e5-7865-4f6f-9a49-f4a07eae52fc,ro,ceramic products
3827,nail dowels,80d3cbfe-7306-498e-b640-f29b096385bf,af,nail dowels
3828,experimental breweries,9dd89f09-36e1-4647-a292-df9ad2b69c67,ca,experimental breweries
3829,breweries,389af1a4-4c65-4cd3-8d47-3544f1f5092e,af,breweries
3830,pressure and dispensing tanks,3b95cc39-4c25-4996-a5d7-4a254d2440e3,af,pressure and dispensing tanks
3831,formwork panels,e373161c-373e-4a38-b7f2-342a619b0e0c,da,formwork panels
3832,scale inhibitors,341ae1d8-0699-4b21-8047-67a9d0701036,it,scale inhibitors
3833,aluminium composite films,2cd33066-4de0-4cac-9e69-57cbb58534dd,ro,aluminium composite films
3834,copper composite films,3724deeb-e329-43d3-b52d-6e264df12984,it,copper composite films
3835,pet films,8f001235-a784-4e39-865c-c2796c20f384,sv,pet films
3836,lamination films,87d8819e-c038-4dd1-a2c9-b7cf9a5b72b5,it,lamination films
3837,rfid labels,366a9441-6bca-4129-97df-22be494b28fd,da,rfid labels
3838,polypropylene (pp) films,8a4ff4ff-6a5c-4f31-b8eb-5248bfd8bfcc,no,polypropylene (pp) films
3839,polytetrafluoroethylene (ptfe) films,5481f5f8-7410-4fcb-98a6-536a9f179778,cy,polytetrafluoroethylene (ptfe) films
3840,polyvinyl chloride (pvc) films,252f8a6f-6b71-4acb-b334-227da6859dbb,cs,polyvinyl chloride (pvc) films
3841,waste disposal tank,352c8e4a-9077-449d-90b0-c43ea6b6331a,af,waste disposal tank
3842,cryo vessels,3ff1dfcd-e090-49d3-9236-8ea9e89c739c,ca,cryo vessels
3843,dewar vessels,fae5c13b-0df8-4ae7-9c02-94973b652f5e,af,dewar vessels
3844,chemical dosing equipment,54a3f189-0779-4fdb-ad90-d27f6b811541,pt,chemical dosing equipment
3845,vacuum evaporators,5790fd3b-6e4c-4f60-8981-dc3e4faf6ae4,ro,vacuum evaporators
3846,oil separator,a25a78d7-3c0a-4593-8053-aa6ebc24dd44,it,oil separator
3847,drilling from 0.25 mm,4ddbab37-bd5e-496c-956d-7b2b1a651c78,sv,drilling from 0.25 mm
3848,aoi systems,62bffef2-31ce-4351-9a03-369d025d6220,fi,aoi systems
3849,high voltage dividers,fb851997-2d5c-443d-a5bf-1909ed2b44fa,af,high voltage dividers
3850,bentonite,6c4c1709-6287-4e96-b93a-aa13e35fef39,de,bentonite
3851,"sensors, probes, transmitters",34fc5d10-dc03-45ef-88bf-328de6819c54,sv,"sensors, probes, transmitters"
3852,titanium matrix composite,be1e4828-cfa6-4360-8dcd-fbf4a3ee677b,ro,titanium matrix composite
3853,drying agents for inks,b58ca699-db01-4719-9bd5-92e8c75e78cd,no,drying agents for inks
3854,pharmaceutical and agricultural products,e1076f0c-74e1-4c41-9697-dd5a7dd195d2,ro,pharmaceutical and agricultural products
3855,murano glass,6bc78b81-20b6-43da-b655-52a46b74bad1,it,murano glass
3856,glass tiles,53c97fba-73f6-45dd-8e7b-d49773a613bb,no,glass tiles
3857,glass blocks,5cd87c16-a247-43eb-9196-2a27a5fbd396,sv,glass blocks
3858,glass block,5adc54c2-6334-4c6a-8a38-4c784609b28f,sv,glass block
3859,packed briquettes,29743891-0afe-4bab-9d34-4c3933e959f5,fr,packed briquettes
3860,"demijohns, glass",7062db3d-5506-4476-b833-8f45ffa0a36d,de,"demijohns, glass"
3861,crystalware,bb6ea8cc-1d7c-4c0b-ac90-0c660d978f5c,cy,crystalware
3862,cladding,323e47a2-2b66-46d4-ade1-d922d9ed70a1,cy,cladding
3863,liquid crystals,98da8fd2-7107-4f54-b7d7-5434483757ad,ca,liquid crystals
